longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-117.12,32.75,20,1406,413.0,850,412,2.3261,114600
-120.69,35.65,14,3487,889.0,2352,796,1.6303,144900
-118.45,33.99,45,1132,269.0,654,264,4.5673,343100
-120.16,37.12,29,1995,392.0,1261,354,1.9073,79200
-122.4,37.75,52,1182,307.0,1029,306,2.0577,214600
-118.18,33.85,38,3596,862.0,2416,832,3.6897,169800
-118.12,34.56,5,6446,1154.0,3427,1104,3.9936,148500
-118.47,34.02,35,3057,774.0,2223,732,2.0745,332500
-119.78,36.72,22,354,121.0,530,115,2.1458,34400
-121.37,38.62,43,1077,199.0,447,182,3.0139,115600
-117.96,33.79,36,2398,403.0,1261,402,5.2816,221800
-117.08,32.82,10,5177,856.0,2190,816,5.9734,271700
-117.93,33.69,26,2822,473.0,1258,469,6.4441,261000
-118.06,33.85,16,4851,726.0,2527,704,6.0142,437400
-121.94,38.36,2,4953,735.0,1791,562,5.0346,205100
-118.44,34.04,16,18,6.0,3,4,0.536,350000
-118.28,33.93,43,269,74.0,295,79,2.2969,90600
-122.02,37.32,27,4336,754.0,2009,734,6.3923,348300
-122.07,37.71,40,1808,302.0,746,270,5.3015,254900
-122.11,37.14,29,3201,640.0,1722,570,4.4597,204100
-118.16,33.77,30,2800,757.0,1292,742,2.7614,272200
-117.97,33.83,16,2035,564.0,1118,503,3.2546,187500
-122.06,37.34,20,3435,593.0,1293,553,6.7578,451400
-116.92,32.86,11,2204,518.0,1472,497,2.3693,127000
-118.4,33.86,18,5152,1365.0,2286,1243,5.1677,380800
-117.09,32.68,20,2569,737.0,2341,705,2.0114,104900
-120.61,35.12,16,1671,354.0,935,340,2.5792,163800
-121.2,37.6,30,2110,406.0,1301,345,2.3173,86500
-117.79,34.02,5,18690,2862.0,9427,2777,6.4266,315600
-122.07,37.66,21,5031,1168.0,2461,1042,3.875,179300
-117.94,33.89,30,2577,404.0,1076,374,6.7528,459600
-117.03,32.74,37,821,150.0,404,135,3.0125,130400
-122.02,37.11,36,2066,401.0,942,344,5.2417,196400
-121.49,38.63,6,12197,2617.0,5634,2329,3.7449,129300
-118.21,34.09,39,1561,445.0,1780,391,2.4632,144200
-117.86,33.73,31,1115,268.0,1369,259,3.5694,150500
-118.1,34.57,7,20377,4335.0,11973,3933,3.3086,138100
-117.36,33.88,15,2857,421.0,1361,382,4.6875,189800
-117.9,33.71,15,539,71.0,287,66,6.3427,305200
-117.75,34.07,52,1548,348.0,1131,343,2.63,127300
-118.26,34.5,6,5813,908.0,2275,790,4.7778,340400
-118.21,34.14,44,1681,407.0,1105,387,3.2222,186500
-121.34,38.44,14,3205,465.0,1439,456,5.7452,240900
-118.85,34.19,27,2287,320.0,967,321,6.5162,349400
-118.01,33.76,26,2141,597.0,2038,585,2.2981,177700
-116.99,32.72,14,1771,301.0,1046,284,4.775,143300
-121.89,37.42,26,40,8.0,52,7,7.7197,225000
-118.42,34.05,33,2921,652.0,1124,608,5.0151,500001
-122.67,38.47,19,1848,428.0,1130,433,3.0568,190300
-118.31,33.97,48,1541,314.0,819,312,3.0917,136100
-119.97,36.57,17,1497,308.0,1425,247,2.0313,69400
-122.14,37.47,37,3373,815.0,2909,705,2.8868,156600
-116.67,32.97,16,349,74.0,120,43,5.359,193800
-118.15,33.78,17,1584,435.0,904,406,2.0875,181300
-122.29,37.9,52,2657,500.0,1131,489,4.4286,234900
-118.22,34.04,43,2343,803.0,2468,707,1.5163,115000
-122.08,37.63,33,691,127.0,431,149,4.25,192600
-117.3,34.46,8,6246,1273.0,3883,1264,2.7917,98200
-122.09,37.63,35,1213,221.0,790,243,4.7019,174100
-118.29,33.74,29,1503,411.0,1368,390,2.1473,195300
-118.41,34.03,33,1730,386.0,994,363,3.7277,500001
-117.91,33.75,8,2346,679.0,3842,674,3.0635,160000
-120.86,37.73,27,508,93.0,263,81,3.1136,183300
-117.01,34.9,34,2194,519.0,1326,515,2.1056,72000
-118.35,33.88,36,1567,362.0,1054,386,3.2594,233900
-122.44,37.8,52,1603,487.0,727,464,3.9856,500001
-117.95,33.74,16,2768,600.0,1182,563,3.7162,201200
-118.36,34.08,52,2373,601.0,1135,576,3.1765,225000
-121.47,38.55,48,1091,403.0,926,336,1.1458,65400
-121.83,37.33,27,3127,610.0,3257,604,4.6333,173600
-122.74,38.46,9,2268,594.0,1311,585,2.6607,91500
-117.72,33.99,14,5622,861.0,3108,821,5.7763,206700
-118.12,33.93,27,580,143.0,466,133,3.0909,187500
-121.92,37.26,33,1306,259.0,762,237,4.5208,230700
-122.09,37.65,35,1184,200.0,572,194,4.7143,193800
-118.98,35.37,36,1562,398.0,1223,329,0.9675,47100
-117.96,33.76,24,1328,290.0,1012,306,4.2813,189500
-118.41,34.25,19,280,84.0,483,87,1.95,137500
-122.41,37.8,52,1866,748.0,2957,710,1.8295,243800
-118.37,33.82,36,2463,447.0,1125,424,6.0176,352700
-119.85,36.84,12,2272,304.0,840,305,8.9669,213900
-118.0,34.14,39,1302,303.0,800,291,3.2723,166900
-117.88,33.76,17,1768,474.0,1079,436,1.7823,205300
-118.33,33.88,36,1271,346.0,811,345,3.2417,283300
-118.14,34.01,42,1007,277.0,1060,268,3.0179,153700
-117.17,32.73,52,55,18.0,65,22,1.6591,112500
-118.14,34.14,17,3404,1011.0,1694,949,2.9511,282300
-117.01,32.72,12,2914,734.0,2104,703,2.3068,132300
-122.31,37.55,52,900,183.0,371,166,3.25,296400
-120.45,34.96,21,2121,445.0,2211,463,4.0603,117600
-120.41,34.87,32,1997,317.0,866,281,5.062,158900
-118.18,33.77,37,2653,754.0,1087,698,2.3523,325000
-118.61,34.24,17,5406,895.0,2337,882,6.0137,375900
-118.25,34.15,32,1377,444.0,768,422,2.2621,187500
-119.84,36.81,18,2789,378.0,937,364,7.7062,188300
-118.36,34.07,48,1740,360.0,748,357,4.7019,411100
-119.0,35.39,42,2839,516.0,1203,487,3.7708,79400
-118.37,34.09,38,1349,344.0,547,309,3.2159,383300
-118.32,34.08,52,1137,304.0,754,297,3.37,330300
-121.36,38.64,24,6540,1008.0,2667,1031,5.5632,175200
-118.13,34.69,32,3670,765.0,1986,673,3.682,108800
-122.21,37.44,35,1140,193.0,486,199,4.6908,500001
-121.28,38.12,34,3268,640.0,1906,628,2.8237,110700
-118.42,34.18,30,1323,353.0,856,333,3.3594,202200
-119.61,36.59,10,2842,620.0,1443,576,2.2727,92700
-118.27,34.1,51,3149,519.0,1082,510,6.4459,421600
-115.49,32.87,19,541,104.0,457,106,3.3583,102800
-117.93,33.92,34,2271,437.0,1393,433,4.2443,174400
-122.2,37.79,40,1060,256.0,667,235,4.1739,169600
-121.89,37.31,52,1994,404.0,1014,389,4.3882,223600
-117.88,33.7,16,1505,358.0,835,339,3.8029,205400
-122.33,37.94,44,1769,332.0,828,309,4.0526,150800
-122.82,38.33,25,3067,569.0,1602,550,3.9917,244100
-122.12,37.38,34,1443,218.0,504,200,8.4709,500001
-122.26,37.82,40,624,195.0,423,160,0.9506,187500
-118.45,34.07,19,4845,1609.0,3751,1539,1.583,350000
-118.32,34.62,31,1398,273.0,884,299,4.8409,264900
-120.95,37.09,43,1116,222.0,801,207,2.875,97200
-122.56,38.03,34,1887,290.0,815,283,6.5249,324800
-122.86,38.61,52,1753,380.0,982,380,3.4013,183300
-118.23,33.95,43,1683,520.0,2190,494,2.2391,152800
-120.83,35.32,11,3252,701.0,1814,660,3.2226,183200
-118.31,34.26,36,1882,453.0,1005,409,3.8,217100
-121.88,37.33,35,3300,1154.0,3120,1075,1.473,213600
-118.75,34.28,22,3844,537.0,1665,492,6.2059,239900
-117.84,33.6,21,4281,582.0,1443,576,9.0519,500001
-122.19,37.74,36,847,212.0,567,159,1.1765,87100
-118.31,33.98,44,222,54.0,234,77,5.1136,111700
-117.88,33.64,16,3615,570.0,1209,559,8.5574,392200
-121.95,37.78,4,14652,2826.0,5613,2579,6.3942,356700
-119.01,36.07,44,2450,575.0,1330,508,1.6103,50900
-122.29,37.89,52,2248,422.0,870,377,3.4732,246200
-118.19,33.9,36,2326,543.0,2073,494,1.9952,112900
-118.3,33.87,27,3144,722.0,1510,680,3.1597,214700
-117.99,33.77,15,2081,531.0,1617,561,3.4955,160900
-117.24,34.12,29,2654,667.0,1822,593,2.1563,72300
-118.23,34.13,34,609,149.0,407,145,4.5766,185800
-118.08,33.87,23,2536,552.0,2012,556,4.1406,200800
-120.91,37.57,26,3396,705.0,2446,694,2.0521,65400
-118.06,34.16,34,2297,419.0,909,412,4.8214,362500
-116.25,33.75,33,278,91.0,375,81,2.025,50000
-117.95,34.05,31,2349,539.0,2028,521,3.494,154500
-117.87,34.11,34,1324,211.0,799,228,4.5234,192200
-122.25,37.47,38,645,124.0,265,103,5.4688,305000
-122.65,38.27,9,4764,816.0,2077,755,5.1391,234500
-122.33,37.98,32,1967,348.0,1144,364,4.4135,150100
-121.94,38.03,27,1654,478.0,1141,420,1.4871,87100
-119.69,36.77,22,2456,496.0,1720,417,2.6875,60600
-121.7,39.36,37,2330,495.0,1505,470,2.0474,56000
-121.34,38.04,16,3295,565.0,2279,576,3.6083,146400
-121.28,38.14,37,3278,623.0,1431,575,3.3987,99500
-118.13,34.02,43,396,91.0,261,73,2.9044,172900
-122.14,37.48,36,1210,236.0,981,239,4.0039,148900
-119.35,36.22,32,1290,304.0,852,309,1.4429,54600
-116.35,32.74,16,2595,606.0,1046,367,1.7137,110700
-121.97,37.25,32,2892,496.0,1193,492,6.131,367800
-122.05,38.26,32,1070,199.0,631,195,2.6827,98900
-118.36,34.11,35,3946,695.0,1361,620,6.5195,500001
-121.48,38.52,34,2561,497.0,1583,530,3.1583,95800
-118.48,34.27,33,2649,449.0,1303,437,4.9955,216800
-118.31,34.22,27,7714,1132.0,3199,1100,7.1262,446200
-117.16,32.81,14,4328,1100.0,2046,1044,2.2899,159000
-121.79,37.33,10,3283,550.0,2491,522,6.6633,283700
-121.43,38.57,46,2443,476.0,939,457,3.5893,142000
-118.3,34.04,35,1090,345.0,1605,330,2.1518,152800
-117.14,33.15,16,1129,198.0,758,178,5.0346,174600
-116.74,33.33,17,4190,946.0,1802,673,2.4744,158200
-121.99,37.37,27,1797,538.0,1610,531,4.2422,237500
-121.07,39.05,10,1813,311.0,827,287,3.6087,182100
-118.44,33.95,37,2076,332.0,771,327,6.2551,500001
-118.31,33.97,52,1595,325.0,823,302,3.2188,124200
-118.03,34.05,36,1359,317.0,1557,370,2.7955,157500
-121.81,38.58,17,1964,314.0,808,286,5.9629,286000
-117.31,34.13,36,1076,283.0,773,224,2.6307,66400
-117.16,34.9,16,1579,327.0,934,298,2.7305,73800
-114.61,33.62,16,1187,261.0,1115,242,2.1759,61500
-116.86,34.31,19,1649,328.0,382,151,4.0556,133000
-118.74,34.26,22,4337,673.0,2347,636,5.4091,222400
-121.02,40.51,17,890,167.0,406,154,3.3036,78300
-118.08,33.93,39,1478,324.0,1127,320,3.525,158000
-121.79,37.69,25,6296,1082.0,3200,1047,4.5357,188400
-117.87,34.11,23,4066,819.0,2105,737,4.6556,199600
-119.87,36.78,4,6102,1114.0,3406,1115,3.4213,84500
-119.46,36.6,18,1404,226.0,754,229,3.9844,118100
-118.42,33.99,38,740,171.0,599,194,4.0893,248900
-122.47,37.78,52,2169,522.0,1220,505,3.1989,446900
-118.02,34.12,38,1778,288.0,870,281,6.5784,408500
-118.23,33.94,35,1090,267.0,1339,263,2.1607,97600
-118.31,33.94,40,1323,243.0,684,229,3.2206,145800
-122.71,38.46,36,2175,516.0,1087,477,3.0444,167200
-117.05,33.04,12,1840,254.0,580,234,6.7769,400000
-118.44,34.0,40,1287,346.0,806,311,3.875,321300
-117.93,33.82,28,2444,555.0,1848,567,3.0179,198800
-118.31,34.02,52,1173,284.0,814,295,2.45,111400
-117.96,33.92,18,3744,1027.0,1654,912,3.2158,215000
-122.27,37.82,43,1868,456.0,1061,407,1.5045,93800
-121.3,38.71,17,5434,1106.0,2755,1047,2.8226,99900
-121.69,39.36,29,2220,471.0,1170,428,2.3224,56200
-121.92,36.62,52,974,190.0,403,181,4.3281,236500
-119.78,36.77,45,1315,256.0,666,240,2.3562,58100
-116.18,33.69,17,89,19.0,79,21,2.375,155000
